iter	R2	RMSE
471	0.8799069989	22683.58882
472	0.8800098175	22673.87637
473	0.8801454522	22661.05768
474	0.8802205359	22653.95848
475	0.8803757504	22639.27582
476	0.8804730752	22630.06443
477	0.8805619629	22621.6483
478	0.8806513548	22613.18127
479	0.8807201498	22606.66298
480	0.8808548507	22593.8947
481	0.8810008567	22580.04665
482	0.8811490653	22565.981
483	0.8812838272	22553.18389
484	0.8814249561	22539.77437
485	0.8814964749	22532.97589
486	0.8815931107	22523.78656
487	0.8817148103	22512.20852
488	0.8818450455	22499.81183
489	0.8819364749	22491.10486
490	0.8820764769	22477.76571
491	0.8821580651	22469.98848
492	0.882284845	22457.89809
493	0.8823308808	22453.50626
494	0.8824087054	22446.07984
495	0.8824736393	22439.88161
496	0.8825578128	22431.84434
497	0.8826818417	22419.99626
498	0.8827437941	22414.07579
499	0.8828949646	22399.62265
500	0.8829793998	22391.5459
501	0.8830780465	22382.10603
502	0.8831813519	22372.21609
503	0.8832577581	22364.89853
504	0.8833485549	22356.19963
505	0.8834388218	22347.54815
506	0.8835255538	22339.23231
507	0.8835585971	22336.06332
508	0.8836585703	22326.47271
509	0.8837024634	22322.26066
510	0.8837974972	22313.13836
511	0.8838925326	22304.01217
512	0.8838945367	22303.81968
513	0.8839370715	22299.73385
514	0.8840284438	22290.95421
515	0.8840859943	22285.42263
516	0.8841721766	22277.13645
517	0.884212172	22273.28997
518	0.8843486498	22260.15946
519	0.884494657	22246.10355
520	0.8845333932	22242.37298
521	0.8846228841	22233.75197
522	0.8847318848	22223.247
523	0.8848096658	22215.7478
524	0.8849139809	22205.68635
525	0.884951996	22202.01857
526	0.8850676201	22190.85917
527	0.8851392996	22183.93824
528	0.88514115	22183.75955
529	0.8852096745	22177.14118
530	0.8852973357	22168.67162
531	0.8853697705	22161.67074
532	0.8854954562	22149.51789
533	0.8855617411	22143.10596
534	0.8856038389	22139.03274
535	0.8856056248	22138.85994
536	0.8856619324	22133.41063
537	0.8857323022	22126.59853
538	0.8858228278	22117.83219
539	0.8859040764	22109.96125
540	0.8859348727	22106.97714
541	0.8859604241	22104.50094
542	0.8860111282	22099.58636
543	0.8860802735	22092.88257
544	0.8861911287	22082.13067
545	0.8863339349	22068.27211
546	0.8864005096	22061.80842
547	0.8865219795	22050.01012
548	0.8865316217	22049.0733
549	0.8866266508	22039.83839
550	0.8866606009	22036.53818
551	0.8867812669	22024.80453
552	0.8868385901	22019.2282
553	0.8869685651	22006.57913
554	0.8869926373	22004.23565
555	0.8871713998	21986.82488
556	0.8871995045	21984.08634
557	0.8873325945	21971.11333
558	0.8874191019	21962.67686
559	0.8874790368	21956.82993
560	0.8874806876	21956.66886
561	0.8875132942	21953.48726
562	0.8875753798	21947.42794
563	0.887602175	21944.81232
564	0.8876798451	21937.22877
565	0.8877460464	21930.76294
566	0.8878119467	21924.32461
567	0.8878793691	21917.73561
568	0.8879010986	21915.61163
569	0.8880683323	21899.25823
570	0.8881098958	21895.19193
571	0.8882077579	21885.61478
572	0.8882729454	21879.23295
573	0.8883805859	21868.69092
574	0.8884801979	21858.93066
575	0.8885804218	21849.10603
576	0.8886912679	21838.23501
577	0.8887979176	21827.77042
578	0.8888849755	21819.22449
579	0.8888994041	21817.80779
580	0.8889819035	21809.70572
581	0.8890016994	21807.76116
582	0.8890362707	21804.36481
583	0.8890909778	21798.98917
584	0.8891372352	21794.44278
585	0.8892013472	21788.14001
586	0.8892251624	21785.7983
587	0.8893061944	21777.82866
588	0.8894387165	21764.7886
589	0.8895239664	21756.39595
590	0.8896056921	21748.34722
591	0.889623039	21746.63842
592	0.8896933995	21739.70606
593	0.8897764474	21731.52079
594	0.8898009309	21729.10709
595	0.8899161672	21717.74295
596	0.8899446154	21714.93658
597	0.8899828097	21711.16821
598	0.8900761269	21701.95849
599	0.8902119997	21688.54185
600	0.8903110279	21678.75817
601	0.8903792086	21672.01956
602	0.8904818735	21661.86876
603	0.8905742153	21652.73457
604	0.8905898958	21651.18312
605	0.8906651973	21643.73113
606	0.8907540128	21634.93846
607	0.8907907055	21631.30486
608	0.8908131125	21629.08565
609	0.8909067869	21619.80557
610	0.8909287195	21617.63218
611	0.890998157	21610.74993
612	0.8911037619	21600.27876
613	0.8911599443	21594.70597
614	0.8912164841	21589.09628
615	0.891270691	21583.71667
616	0.8913507003	21575.77394
617	0.8914208447	21568.80811
618	0.8914864241	21562.29359
619	0.8916328552	21547.74031
620	0.8917126077	21539.80985
621	0.8917206769	21539.0073
622	0.8917767104	21533.43347
623	0.8918393688	21527.19892
624	0.8918443276	21526.70544
625	0.8919300498	21518.17291
626	0.8919392324	21517.2587
627	0.8919971901	21511.48761
628	0.8920234773	21508.86957
629	0.8920460242	21506.62379
630	0.8920889637	21502.34615
631	0.8921224971	21499.00496
632	0.8921406852	21497.19253
633	0.8921774873	21493.52473
634	0.892228931	21488.39669
635	0.8923109166	21480.22161
636	0.8923783678	21473.49348
637	0.8924384267	21467.50093
638	0.8925239837	21458.96135
639	0.8925621989	21455.14594
640	0.892612732	21450.09966
641	0.892644892	21446.88751
642	0.8927236265	21439.02147
643	0.8927322862	21438.15614
644	0.8928059275	21430.79603
645	0.892871809	21424.20933
646	0.8929852158	21412.8664
647	0.8930025128	21411.13584
648	0.8930696321	21404.4192
649	0.8931469149	21396.68289
650	0.8931839818	21392.97136
651	0.8932677765	21384.57856
652	0.8933409182	21377.25007
653	0.8933833063	21373.00181
654	0.8934702113	21364.2893
655	0.8934938698	21361.91684
656	0.8936606375	21345.186
657	0.8936745367	21343.79098
658	0.8937520804	21336.0065
659	0.8937873728	21332.46261
660	0.8938491047	21326.26238
661	0.8939131959	21319.82328
662	0.893971222	21313.99185
663	0.8940001092	21311.08819
664	0.8940635944	21304.70544
665	0.8941295509	21298.0722
666	0.8942363523	21287.32682
667	0.8942531652	21285.63477
668	0.8943532543	21275.55898
669	0.8943832808	21272.53534
670	0.8944767129	21263.12405
671	0.8945708484	21253.6377
672	0.8945861706	21252.09324
673	0.8946148766	21249.19938
674	0.8946840444	21242.22496
675	0.8947523175	21235.3385
676	0.8948145842	21229.05594
677	0.894852797	21225.19944
678	0.8949787478	21212.4833
679	0.8950340199	21206.90056
680	0.8951261918	21197.58749
681	0.895148324	21195.35065
682	0.8951850202	21191.64133
683	0.8952737986	21182.66475
684	0.8953258505	21177.39991
685	0.8953883466	21171.07694
686	0.895411789	21168.7047
687	0.8954761736	21162.18796
688	0.8954937116	21160.41249
689	0.8955181164	21157.9416
690	0.8955828632	21151.38486
691	0.8956689699	21142.66191
692	0.895684076	21141.13123
693	0.89569363	21140.16308
694	0.8957552538	21133.91739
695	0.895810574	21128.30901
696	0.8958685242	21122.43242
697	0.895943166	21114.86074
698	0.8959917499	21109.93092
699	0.8959962703	21109.47217
700	0.8960216932	21106.892
701	0.8960829459	21100.67414
702	0.8960957667	21099.37244
703	0.8961619992	21092.64661
704	0.8962086081	21087.91224
705	0.8962932526	21079.31162
706	0.8963140765	21077.19519
707	0.8963151416	21077.08693
708	0.8963958935	21068.8777
709	0.8964119775	21067.24222
710	0.8964620109	21062.15383
711	0.8964936466	21058.93585
712	0.8965186762	21056.38949
713	0.8965739211	21050.76811
714	0.8966904759	21038.90332
715	0.8966916262	21038.78619
716	0.8967219379	21035.69946
717	0.8967977656	21027.97575
718	0.8968815731	21019.43591
719	0.8969591779	21011.52503
720	0.8970164452	21005.68539
721	0.8970921392	20997.96428
722	0.8971557026	20991.47834
723	0.8971705601	20989.962
724	0.8971879717	20988.18487
725	0.897266203	20980.19823
726	0.8973022795	20976.51415
727	0.8973292653	20973.75798
728	0.8973664659	20969.95793
729	0.8974392888	20962.51707
730	0.8974936059	20956.96536
731	0.8975721151	20948.9384
732	0.8976104444	20945.01841
733	0.897616661	20944.38256
734	0.8976388898	20942.10879
735	0.8976448205	20941.50209
736	0.8976776782	20938.14054
737	0.8977074711	20935.09206
738	0.8977864731	20927.00626
739	0.8978284426	20922.70945
740	0.8978806591	20917.36231
741	0.8978901776	20916.38744
742	0.8979301819	20912.28976
743	0.8980212474	20902.95882
744	0.898081423	20896.7907
745	0.8981033661	20894.54105
746	0.898150019	20889.75726
747	0.8981608426	20888.64726
748	0.8982268911	20881.87242
749	0.8982464323	20879.86759
750	0.8983519162	20869.04211
751	0.8984336184	20860.65342
752	0.898496562	20854.18844
753	0.8985356463	20850.17306
754	0.8985601628	20847.65393
755	0.8986715438	20836.20542
756	0.8987312889	20830.06181
757	0.8987929783	20823.71636
758	0.8988313252	20819.77098
759	0.8988986889	20812.83835
760	0.8989110554	20811.56542
761	0.8989686637	20805.63456
762	0.8990116461	20801.20835
763	0.8990248141	20799.85216
764	0.8991318227	20788.8279
765	0.899214872	20780.26795
766	0.8992848971	20773.04768
767	0.8993510857	20766.22066
768	0.8994229453	20758.80619
769	0.8994437567	20756.65837
770	0.899491605	20751.7194
771	0.8995471537	20745.9841
772	0.8995877737	20741.78917
773	0.8996132077	20739.16209
774	0.8996728117	20733.00431
775	0.899727352	20727.36806
776	0.8997968975	20720.17893
777	0.8998506332	20714.62241
778	0.8998665853	20712.97259
779	0.8998871174	20710.84892
780	0.8998954437	20709.98765
781	0.8999503527	20704.30699
782	0.8999805077	20701.18661
783	0.9000099074	20698.14393
784	0.9000853082	20690.3384
785	0.9001448719	20684.17026
786	0.9002190963	20676.48134
787	0.9002438683	20673.91457
788	0.9003026154	20667.82616
789	0.9003681926	20661.02778
790	0.9004343199	20654.17011
791	0.9005081435	20646.51161
792	0.9005589395	20641.24035
793	0.9005691832	20640.17717
794	0.9006526706	20631.51005
795	0.9007011085	20626.47989
796	0.9007100001	20625.55638
797	0.9007249416	20624.00441
798	0.9008429848	20611.73927
799	0.9008738081	20608.53539
800	0.9008937265	20606.46475
801	0.9010245054	20592.8643
802	0.9011178115	20583.15537
803	0.9011505934	20579.74317
804	0.901226599	20571.82974
805	0.9012639531	20567.93945
806	0.9012833228	20565.92187
807	0.901349589	20559.018
808	0.9014142031	20552.28402
809	0.9014705666	20546.4081
810	0.901476831	20545.75493
811	0.9015258047	20540.64788
812	0.901589671	20533.98589
813	0.9016005438	20532.85152
814	0.9016501677	20527.6734
815	0.9017310706	20519.22859
816	0.9018085596	20511.13687
817	0.9018569214	20506.08512
818	0.9018782622	20503.85552
819	0.9019430883	20497.08126
820	0.9019768009	20493.55744
821	0.9020567424	20485.19912
822	0.9021304381	20477.4908
823	0.9022141645	20468.72979
824	0.902255139	20464.4409
825	0.9023261488	20457.00604
826	0.9023743041	20451.96255
827	0.9024203129	20447.1427
828	0.9024629252	20442.67766
829	0.9025591294	20432.59351
830	0.9025870984	20429.66086
831	0.9026673658	20421.24219
832	0.9027291088	20414.76405
833	0.9027478768	20412.79449
834	0.9027974142	20407.59498
835	0.9028552435	20401.52347
836	0.9029048795	20396.31075
837	0.9029128167	20395.47706
838	0.903009884	20385.27886
839	0.9031330487	20372.33143
840	0.9031830142	20367.07657
841	0.9032372007	20361.37626
842	0.9032618238	20358.78542
843	0.903351123	20349.38663
844	0.9034024352	20343.98404
845	0.9034506251	20338.90888
846	0.9034602159	20337.89866
847	0.903505785	20333.0981
848	0.9035320437	20330.33132
849	0.9035956194	20323.63103
850	0.9036256382	20320.46655
851	0.9036288314	20320.1299
852	0.9036930203	20313.36157
853	0.9037132571	20311.22726
854	0.9037407248	20308.32996
855	0.9037689562	20305.35168
856	0.9038141019	20300.58811
857	0.9038711026	20294.57205
858	0.9039867797	20282.35759
859	0.9040220927	20278.6274
860	0.9040815594	20272.34423
861	0.9041448481	20265.6551
862	0.9041792908	20262.01385
863	0.9041850887	20261.40083
864	0.9042680411	20252.62822
865	0.9043233794	20246.77381
866	0.904329509	20246.12523
867	0.9043797044	20240.81327
868	0.9044259399	20235.91913
869	0.9045177472	20226.1976
870	0.9045361297	20224.25052
871	0.9046010152	20217.37627
872	0.9046655277	20210.53922
873	0.9047352617	20203.1462
874	0.904805434	20195.70399
875	0.9048767248	20188.14033
876	0.9049179627	20183.76387
877	0.9049444866	20180.94846
878	0.9049741636	20177.7979
879	0.9050481964	20169.9363
880	0.905052831	20169.44405
881	0.9051291879	20161.33224
882	0.9051687279	20157.13041
883	0.9051767458	20156.27826
884	0.9052021477	20153.57828
885	0.9052320076	20150.40399
886	0.9052786808	20145.44134
887	0.9052852482	20144.74295
888	0.9053487494	20137.98883
889	0.9054088187	20131.59764
890	0.9054256952	20129.80168
891	0.9054678455	20125.31541
892	0.9055167295	20120.11118
893	0.9055480701	20116.77393
894	0.9055691077	20114.53347
895	0.9055925622	20112.03532
896	0.9056040084	20110.81606
897	0.9056328633	20107.7421
898	0.9056847636	20102.21188
899	0.9057044975	20100.10874
900	0.905747277	20095.54877
901	0.9057957964	20090.37571
902	0.9058601979	20083.50727
903	0.9059256574	20076.52359
904	0.9060065762	20067.88725
905	0.9060515439	20063.08629
906	0.9061548239	20052.05532
907	0.9061588369	20051.62659
908	0.9062152741	20045.59604
909	0.9062400583	20042.94717
910	0.9062796196	20038.71824
911	0.9063301616	20033.31421
912	0.906368398	20029.22496
913	0.9064324707	20022.37072
914	0.9065208574	20012.91163
915	0.9065683005	20007.83244
916	0.9066275035	20001.49246
917	0.9067007152	19993.64952
918	0.9067599206	19987.30477
919	0.9067721229	19985.99686
920	0.906836461	19979.09934
921	0.9069243228	19969.67605
922	0.9069895936	19962.6728
923	0.9070267749	19958.68231
924	0.9070883966	19952.06701
925	0.9071075409	19950.01136
926	0.9071623453	19944.12547
927	0.9072019808	19939.86761
928	0.9072638782	19933.21644
929	0.9073291051	19926.20509
930	0.907374251	19921.35083
931	0.9074321567	19915.12286
932	0.9074943695	19908.42948
933	0.9075424305	19903.25713
